Block,DiamondTile,14,,
Block,DiamondTile,15,,
Block,DiamondTile,16,,
Block,DiamondTile,17,,
Block,DiamondTile,18,,
Block,DiamondTile,19,,
Block,DiamondTile,20,,
Block,DiamondTile,21,,
Block,DiamondTile,22,,
Block,DiamondTile,23,,
Block,DiamondTile,26,,
Block,DiamondTile,35,,
Block,DiamondTile,38,,
Block,DiamondTile,47,,
Block,DiamondTile,50,,
Block,DiamondTile,59,,
Block,DiamondTile,62,,
Block,DiamondTile,63,,
Block,DiamondTile,64,,
Block,DiamondTile,65,,
Block,DiamondTile,68,,
Block,DiamondTile,69,,
Block,DiamondTile,70,,
Block,DiamondTile,71,,
Block,SideChunk,29,,
Block,SideChunk,32,,
Block,UpChunk,40,,
Block,UpChunk,45,,
Item,Triforce,385,230,TRUE
Door,North,5,,
Door,South,5,,
Door,East,5,,
Door,West,0,,
