Block,BlueTile,14,,
Block,BlueTile,15,,
Block,BlueTile,16,,
Block,BlueTile,21,,
Block,BlueTile,22,,
Block,BlueTile,23,,
Block,BlueTile,26,,
Block,BlueTile,35,,
Block,BlueTile,38,,
Block,BlueTile,40,,
Block,BlueTile,41,,
Block,BlueTile,42,,
Block,BlueTile,43,,
Block,BlueTile,44,,
Block,BlueTile,45,,
Block,BlueTile,47,,
Block,BlueTile,50,,
Block,BlueTile,59,,
Block,BlueTile,62,,
Block,BlueTile,63,,
Block,BlueTile,64,,
Block,BlueTile,69,,
Block,BlueTile,70,,
Block,BlueTile,71,,
Item,Key,387,173,FALSE
Item,Rupee,0,0,FALSE
Item,Bomb,0,0,FALSE
Item,Rupee,0,0,FALSE
Door,North,5,,
Door,South,1,,
Door,East,5,,
Door,West,1,,
Enemy,Goriya,353,124,
Enemy,Goriya,142,278,
Enemy,Goriya,589,309,
